,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
1987,2016-11-01,startup,https://angel.co/adjoint,london,blockchains,adjoint,distributed ledger solutions for modern finance,,1-10,,adjoint.io,machine learning,startup,python,1,28,,,,,51.5073219,-0.1276474,
1988,2012-09-01,startup,https://angel.co/reach-ly,riga,big data analytics,reach.ly (deadpool),behavioral analytics for e retailers,,1-10,,reach.ly,machine learning,startup,python,1,78,,,,,56.9493977,24.1051846,
1989,2013-10-01,startup,https://angel.co/lionsolver-1,los angeles,machine learning,lionsolver,the rocketfuel for healthcare,,1-10,,lionsolver.com,machine learning,startup,python,1,65,,,,,34.0536834,-118.2427669,
1990,2012-12-01,startup,https://angel.co/mentat-innovations,london,real time,mentat innovations,machine intelligence in motion,,1-10,,ment.at,machine learning,startup,python,1,75,,,,,51.5073219,-0.1276474,
1991,2013-03-01,startup,https://angel.co/keys-duplicated-1,san francisco,property management,keys duplicated,copy your house keys with your phone,,1-10,,keysduplicated.com,machine learning,startup,python,1,72,,,,,37.7792808,-122.4192363,
1992,2013-04-01,startup,https://angel.co/boundlessai,los angeles,neuroscience,boundless mind,predictably change your users behavior with ai,1200000.0,1-10,,boundless.ai,machine learning,startup,python,1,71,16901.408450704224,1200.0,1.2,0.0012,34.0536834,-118.2427669,
1993,2013-10-01,startup,https://angel.co/ecopia,waterloo,maps,ecopia,revolutionary visual recognition to mine geospatial big data,,11-50,,ecopiatech.com,machine learning,startup,python,11,65,,,,,43.466874,-80.524635,
1994,2014-03-01,startup,https://angel.co/alunacare,san francisco,medical devices,aluna,self managed respiratory care through machine learning,,1-10,,aluna.io,machine learning,startup,python,1,60,,,,,37.7792808,-122.4192363,
1995,2015-04-01,startup,https://angel.co/loverino,san francisco,big data,loverino,personalized radio,,1-10,,loverino.com,machine learning,startup,python,1,47,,,,,37.7792808,-122.4192363,
1996,2015-12-01,startup,https://angel.co/yarn-co,san francisco,entertainment industry,yarn,search engine for entertainment clips and gifs,,1-10,,yarn.co,machine learning,startup,python,1,39,,,,,37.7792808,-122.4192363,
1997,2016-11-01,startup,https://angel.co/relimetrics,mountain view,manufacturing,relimetrics,industry 4.0 software for smart quality audit in manufacturing and assembly,,11-50,,relimetrics.com,machine learning,startup,python,11,28,,,,,37.3893889,-122.0832101,
1998,2011-03-01,startup,https://angel.co/smart-locus,walnut creek,energy efficiency,smart locus,"cloud based managment and control for commercial hvac systems, saas",,-,,smartlocus.com,machine learning,startup,python,,97,,,,,37.9020731,-122.0618702,
1999,2011-06-01,startup,https://angel.co/synopsi,san francisco,b2b,synopsi,credit bureau for movie entertainment,,1-10,,synopsi.com,machine learning,startup,python,1,94,,,,,37.7792808,-122.4192363,
2000,2012-01-01,startup,https://angel.co/living-discoveries,rockville,medical devices,living discoveries,artificially intelligent cloud diagnosis,,1-10,,livingdiscoveries.com,machine learning,startup,python,1,86,,,,,39.0840054,-77.1527573,
